Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI),Origin
Picocystis salinarum,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Picocystis salinarum],🟢 Confirmed,KAN5722996.1,"Organism: Picocystis salinarum | Strain: CCMP1897 | Db xref: taxon:88271 | Chromosome: 11 | Geo loc name: USA: San Francisco Bay, California | Lat lon: 37.78 N 122.35 W | Collection date: 1999-05-12"
Kovacikia sp. CALU 1929,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Kovacikia sp. CALU 1929],🟢 Confirmed,WP_482031761.1,Organism: Kovacikia sp. CALU 1929 | Db xref: taxon:3241004
Synechococcus sp. RC10A2,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Synechococcus sp. RC10A2],🟢 Confirmed,WP_414510838.1,Organism: Synechococcus sp. RC10A2 | Db xref: taxon:2964529
Romeriopsis navalis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Romeriopsis navalis],🟢 Confirmed,WP_264325084.1,Organism: Romeriopsis navalis | Db xref: taxon:2992132
Leptolyngbya,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: beta-galactosidase [Leptolyngbya],🟢 Confirmed,WP_144056208.1,Organism: Leptolyngbya | Db xref: taxon:47251
Nostoc sp.,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp.],🟢 Confirmed,WP_334774325.1,Organism: Nostoc sp. | Db xref: taxon:1180
Leptolyngbya sp. FACHB-1624,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. FACHB-1624],🟢 Confirmed,WP_190647893.1,Organism: Leptolyngbya sp. FACHB-1624 | Db xref: taxon:2692802
Nostoc sp.,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp.],🟢 Confirmed,WP_461921067.1,Organism: Nostoc sp. | Db xref: taxon:1180
Coleofasciculus sp. E2-BRE-01,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Coleofasciculus sp. E2-BRE-01],🟢 Confirmed,WP_446382102.1,Organism: Coleofasciculus sp. E2-BRE-01 | Db xref: taxon:3069524
Nostoc sp.,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp.],🟢 Confirmed,WP_334780002.1,Organism: Nostoc sp. | Db xref: taxon:1180
Synechococcus sp. W70.1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Synechococcus sp. W70.1],🟢 Confirmed,WP_414420387.1,Organism: Synechococcus sp. W70.1 | Db xref: taxon:2964534
Kovacikia minuta,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Kovacikia minuta],🟢 Confirmed,WP_224343591.1,Organism: Kovacikia minuta | Db xref: taxon:2931930
Leptolyngbya sp. 7M,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. 7M],🟢 Confirmed,WP_211622863.1,Organism: Leptolyngbya sp. 7M | Db xref: taxon:2812896
Nostoc sp.,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp.],🟢 Confirmed,WP_335220319.1,Organism: Nostoc sp. | Db xref: taxon:1180
Leptolyngbya sp. NK1-12,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. NK1-12],🟢 Confirmed,WP_316434458.1,Organism: Leptolyngbya sp. NK1-12 | Db xref: taxon:2547451
Leptolyngbya boryana,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana],🟢 Confirmed,WP_316427059.1,Organism: Leptolyngbya boryana | Db xref: taxon:1184
Pseudanabaena sp. SR411,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Pseudanabaena sp. SR411],🟢 Confirmed,WP_094535020.1,Organism: Pseudanabaena sp. SR411 | Db xref: taxon:1980935
Leptothermofonsia sichuanensis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptothermofonsia sichuanensis],🟢 Confirmed,WP_225938127.1,Organism: Leptothermofonsia sichuanensis | Db xref: taxon:2917832
Leptolyngbya sp. FACHB-261,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. FACHB-261],🟢 Confirmed,WP_313949256.1,Organism: Leptolyngbya sp. FACHB-261 | Db xref: taxon:2692806
uncultured Microcoleus sp.,beta-galactosidase,3.2.1.23,lactose,MAG: GH2 [uncultured Microcoleus sp.],🟢 Confirmed,CAA9320841.1,"Organism: uncultured Microcoleus sp. | Isolate: AVDCRST_MAG84 | Isolation source: Biological soil crust from Avdat LTER, Negev Desert, Israel | Db xref: taxon:259945 | Environmental sample:  | Metagenome source: soil crust metagenome | Note: contig: NODE1631; metagenomic"
uncultured Coleofasciculus sp.,beta-galactosidase,3.2.1.23,lactose,MAG: GH2 [uncultured Coleofasciculus sp.],🟢 Confirmed,CAA9210920.1,"Organism: uncultured Coleofasciculus sp. | Isolate: AVDCRST_MAG92 | Isolation source: Biological soil crust from Avdat LTER, Negev Desert, Israel | Db xref: taxon:1267456 | Environmental sample:  | Metagenome source: soil crust metagenome | Note: contig: NODE1043; metagenomic"
uncultured Coleofasciculus sp.,beta-galactosidase,3.2.1.23,lactose,MAG: GH2 [uncultured Coleofasciculus sp.],🟢 Confirmed,CAA9248511.1,"Organism: uncultured Coleofasciculus sp. | Isolate: AVDCRST_MAG92 | Isolation source: Biological soil crust from Avdat LTER, Negev Desert, Israel | Db xref: taxon:1267456 | Environmental sample:  | Metagenome source: soil crust metagenome | Note: contig: NODE221; metagenomic"
Leptothermofonsia sp. ETS-13,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptothermofonsia sp. ETS-13],🟢 Confirmed,WP_421654431.1,Organism: Leptothermofonsia sp. ETS-13 | Db xref: taxon:3035696
Trichodesmium erythraeum,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Trichodesmium erythraeum],🟢 Confirmed,WP_011613745.1,Organism: Trichodesmium erythraeum | Db xref: taxon:1206
Pseudanabaena sp. PCC 9330,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Pseudanabaena sp. PCC 9330],🟢 Confirmed,WP_473149792.1,Organism: Pseudanabaena sp. PCC 9330 | Db xref: taxon:1616883
Synechococcus sp. PCC 7336,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Synechococcus sp. PCC 7336],🟢 Confirmed,WP_227498542.1,Organism: Synechococcus sp. PCC 7336 | Db xref: taxon:195250
Nostoc sp. NMS4,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp. NMS4],🟢 Confirmed,WP_292749022.1,Organism: Nostoc sp. NMS4 | Db xref: taxon:2815390
Alkalinema pantanalense,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Alkalinema pantanalense],🟢 Confirmed,WP_431629357.1,Organism: Alkalinema pantanalense | Db xref: taxon:1620705
Leptolyngbya sp. GGD,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. GGD],🟢 Confirmed,WP_268242865.1,Organism: Leptolyngbya sp. GGD | Db xref: taxon:2997907
Microcystis aeruginosa,beta-galactosidase,3.2.1.23,lactose,Beta-glucosidase/6-phospho-beta-glucosidase/ beta-galactosidase [Microcystis aeruginosa],🟢 Confirmed,CAO7126836.1,Organism: Microcystis aeruginosa | Isolate: PCC9905 | Db xref: taxon:1126 | Note: contig: NODE_0158
Leptolyngbya sp. 'hensonii',beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. 'hensonii'],🟢 Confirmed,WP_075599814.1,Organism: Leptolyngbya sp. 'hensonii' | Db xref: taxon:1922337
Chaetoceros neogracilis,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Chaetoceros neogracilis],🟢 Confirmed,GAB7162751.1,Organism: Chaetoceros neogracilis | Strain: UTEX LB2658 | Db xref: taxon:240364 | Geo loc name: USA | Collection date: 2021-10-26
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase 17 [Coccomyxa sp. KJ],🟢 Confirmed,BHG31004.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 17 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Coccomyxa sp. KJ],🟢 Confirmed,BHG31003.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 17 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Coccomyxa sp. KJ],🟢 Confirmed,BHG29339.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 14 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase 2 [Coccomyxa sp. KJ],🟢 Confirmed,BHG28987.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 13 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase 8 [Coccomyxa sp. KJ],🟢 Confirmed,BHG23188.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 5 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase 17 [Coccomyxa sp. KJ],🟢 Confirmed,BHG22074.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 3 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Coccomyxa sp. KJ,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase 17 [Coccomyxa sp. KJ],🟢 Confirmed,BHG19713.1,"Organism: Coccomyxa sp. KJ | Strain: KJ | Culture collection: NBRC:FERM BP-22254 | Db xref: taxon:2561882 | Chromosome: 1 | Geo loc name: Japan:Oita, Kokonoe-machi | Collection date: 2001"
Petrachloros mirabilis,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Petrachloros mirabilis],🟢 Confirmed,WP_455243548.1,Organism: Petrachloros mirabilis | Db xref: taxon:2918835
Trebouxia sp. C0006,beta-galactosidase,3.2.1.23,lactose,"TPA_asm: Glycoside hydrolase 2 (Mannanase, beta-galactosidase) [Trebouxia sp. C0006]",🟢 Confirmed,DBB03750.1,"Organism: Trebouxia sp. C0006 | Strain: C0006 | Isolation source: cold adapted phycobionat of the lichen Umbilicaria pustulata | Host: Lasallia pustulata | Db xref: taxon:2905655 | Geo loc name: United Kingdom: Scotland, Cullin Hills, Slighan, Carbost, fence near building | Lat lon: 57.289618 N 6.175299 W | Collection date: 2012-09-24"
Trebouxia sp. C0005,beta-galactosidase,3.2.1.23,lactose,"TPA_asm: Glycoside hydrolase 2 (Mannanase, beta-galactosidase) [Trebouxia sp. C0005]",🟢 Confirmed,DBA75588.1,"Organism: Trebouxia sp. C0005 | Strain: C0005 | Isolation source: warm adapted phycobionat of the lichen Umbilicaria pustulata | Host: Lasallia pustulata | Db xref: taxon:2905654 | Geo loc name: Italy: Sardinia, Olbia, San Pantaleo, between Cantone Saraghinu and San Pantalteo | Lat lon: 41.046110 N 9.4461 E | Collection date: 2012-04-30"
unclassified Leptolyngbya,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: beta-galactosidase [unclassified Leptolyngbya],🟢 Confirmed,WP_430678206.1,Organism: unclassified Leptolyngbya | Db xref: taxon:2650499
unclassified Leptolyngbya,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: beta-galactosidase [unclassified Leptolyngbya],🟢 Confirmed,WP_430677334.1,Organism: unclassified Leptolyngbya | Db xref: taxon:2650499
Nannochloropsis oceanica,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nannochloropsis oceanica],🟢 Confirmed,GAB5030344.1,Organism: Nannochloropsis oceanica | Strain: NIES-2145 | Isolation source: sea water | Db xref: taxon:145522 | Geo loc name: Japan | Collection date: 2012-03
Nannochloropsis oceanica,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nannochloropsis oceanica],🟢 Confirmed,GAB5035131.1,Organism: Nannochloropsis oceanica | Strain: NIES-2145 | Isolation source: sea water | Db xref: taxon:145522 | Geo loc name: Japan | Collection date: 2012-03
Nannochloropsis oceanica,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nannochloropsis oceanica],🟢 Confirmed,GAB5035510.1,Organism: Nannochloropsis oceanica | Strain: NIES-2145 | Isolation source: sea water | Db xref: taxon:145522 | Geo loc name: Japan | Collection date: 2012-03
Pseudoscourfieldia marina,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Pseudoscourfieldia marina],🟢 Confirmed,XRB14524.1,Organism: Pseudoscourfieldia marina | Strain: K-0017 | Db xref: taxon:41886 | Chromosome: 08 | Geo loc name: Norway | Lat lon: 59.35 N 10.58 E | Collection date: 1983-11
Pycnococcus provasolii,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Pycnococcus provasolii],🟢 Confirmed,XRB04322.1,"Organism: Pycnococcus provasolii | Strain: CCMP1203 | Isolation source: over slope, old WHOI deep water station II | Db xref: taxon:41880 | Chromosome: 20 | Geo loc name: Atlantic Ocean | Lat lon: 38.32 N 69.57 W | Collection date: 1978-01-01"
Pycnococcus provasolii,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Pycnococcus provasolii],🟢 Confirmed,XRB03048.1,"Organism: Pycnococcus provasolii | Strain: CCMP1203 | Isolation source: over slope, old WHOI deep water station II | Db xref: taxon:41880 | Chromosome: 16 | Geo loc name: Atlantic Ocean | Lat lon: 38.32 N 69.57 W | Collection date: 1978-01-01"
Pycnococcus provasolii,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Pycnococcus provasolii],🟢 Confirmed,XRA98173.1,"Organism: Pycnococcus provasolii | Strain: CCMP1203 | Isolation source: over slope, old WHOI deep water station II | Db xref: taxon:41880 | Chromosome: 04 | Geo loc name: Atlantic Ocean | Lat lon: 38.32 N 69.57 W | Collection date: 1978-01-01"
Kamptonema sp. PCC 6506,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Kamptonema sp. PCC 6506],🟢 Confirmed,CAI7983512.1,Organism: Kamptonema sp. PCC 6506 | Strain: PCC 7926 | Db xref: taxon:272129 | Note: contig: NODE_64
Leptolyngbya sp. IPPAS B-1204,beta-galactosidase,3.2.1.23,lactose,MAG: beta-galactosidase [Leptolyngbya sp. IPPAS B-1204],🟢 Confirmed,XPM60513.2,Organism: Leptolyngbya sp. IPPAS B-1204 | Isolate: IPPAS B-1204 | Isolation source: lake water | Db xref: taxon:2483801 | Environmental sample:  | Geo loc name: Mongolia: Lake Tolbo Nuur | Lat lon: 48.33 N 90.03 E | Collection date: 2012 | Metagenome source: freshwater metagenome | Note: metagenomic
Leptolyngbya sp. FACHB-1624,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. FACHB-1624],🟢 Confirmed,WP_415354778.1,Organism: Leptolyngbya sp. FACHB-1624 | Db xref: taxon:2692802
Phormidium sp. FACHB-1136,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Phormidium sp. FACHB-1136],🟢 Confirmed,WP_190499166.1,Organism: Phormidium sp. FACHB-1136 | Db xref: taxon:2692848
Stenomitos frigidus,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Stenomitos frigidus],🟢 Confirmed,WP_245939984.1,Organism: Stenomitos frigidus | Db xref: taxon:1886765
Leptolyngbya boryana,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana],🟢 Confirmed,WP_316426393.1,Organism: Leptolyngbya boryana | Db xref: taxon:1184
Leptolyngbya,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: beta-galactosidase [Leptolyngbya],🟢 Confirmed,WP_190651623.1,Organism: Leptolyngbya | Db xref: taxon:47251
Leptolyngbya boryana,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya boryana],🟢 Confirmed,WP_348251563.1,Organism: Leptolyngbya boryana | Db xref: taxon:1184
Synechococcus sp. RC10B2,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Synechococcus sp. RC10B2],🟢 Confirmed,WP_414508776.1,Organism: Synechococcus sp. RC10B2 | Db xref: taxon:2964530
Leptolyngbya sp. UWPOB_LEPTO1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. UWPOB_LEPTO1],🟢 Confirmed,WP_287456343.1,Organism: Leptolyngbya sp. UWPOB_LEPTO1 | Db xref: taxon:2815653
Leptolyngbya sp. NIES-2104,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. NIES-2104],🟢 Confirmed,WP_072218237.1,Organism: Leptolyngbya sp. NIES-2104 | Db xref: taxon:1552121
Leptolyngbya sp. DQ-M1,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. DQ-M1],🟢 Confirmed,WP_348245129.1,Organism: Leptolyngbya sp. DQ-M1 | Db xref: taxon:2933920
Leptolyngbya,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: beta-galactosidase [Leptolyngbya],🟢 Confirmed,WP_225885693.1,Organism: Leptolyngbya | Db xref: taxon:47251
Leptolyngbya sp. FACHB-321,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. FACHB-321],🟢 Confirmed,WP_190513244.1,Organism: Leptolyngbya sp. FACHB-321 | Db xref: taxon:2692807
Leptolyngbya sp. GGD,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Leptolyngbya sp. GGD],🟢 Confirmed,WP_268242031.1,Organism: Leptolyngbya sp. GGD | Db xref: taxon:2997907
Alkalinema sp. FACHB-956,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Alkalinema sp. FACHB-956],🟢 Confirmed,WP_190570970.1,Organism: Alkalinema sp. FACHB-956 | Db xref: taxon:2692768
Leptolyngbya,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: beta-galactosidase [Leptolyngbya],🟢 Confirmed,WP_017287318.1,Organism: Leptolyngbya | Db xref: taxon:47251
Nostoc punctiforme,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc punctiforme],🟢 Confirmed,WP_340092224.1,Organism: Nostoc punctiforme | Db xref: taxon:272131
Nostoc sp.,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Nostoc sp.],🟢 Confirmed,WP_334977890.1,Organism: Nostoc sp. | Db xref: taxon:1180
Phormidesmis priestleyi,beta-galactosidase,3.2.1.23,lactose,beta-galactosidase [Phormidesmis priestleyi],🟢 Confirmed,WP_068817670.1,Organism: Phormidesmis priestleyi | Db xref: taxon:268141
Chlorella vulgaris,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Chlorella vulgaris],🟢 Confirmed,KAL4854100.1,Organism: Chlorella vulgaris | Isolate: PKVL7422 | Isolation source: Environment | Db xref: taxon:3077 | Geo loc name: South Korea: Busan | Collection date: 2018-01-01
Chlorella vulgaris,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Chlorella vulgaris],🟢 Confirmed,KAL4854099.1,Organism: Chlorella vulgaris | Isolate: PKVL7422 | Isolation source: Environment | Db xref: taxon:3077 | Geo loc name: South Korea: Busan | Collection date: 2018-01-01
Chlorella vulgaris,beta-galactosidase,3.2.1.23,lactose,Beta-galactosidase [Chlorella vulgaris],🟢 Confirmed,KAL4854098.1,Organism: Chlorella vulgaris | Isolate: PKVL7422 | Isolation source: Environment | Db xref: taxon:3077 | Geo loc name: South Korea: Busan | Collection date: 2018-01-01
