Specie,Transporter,TC number,Family,Target sugar,Description,Status,Source ID (NCBI)
Chaetoceros neogracilis,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Chaetoceros neogracilis]",🟢 Confirmed,GAB7152945.1
Chaetoceros neogracilis,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Chaetoceros neogracilis]",🟢 Confirmed,GAB7152944.1
Coccomyxa sp. KJ,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Coccomyxa sp. KJ],🟢 Confirmed,BHG26217.1
Coccomyxa sp. KJ,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Coccomyxa sp. KJ],🟢 Confirmed,BHG21115.1
Prototheca bovis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Prototheca bovis],🟢 Confirmed,GAB1853334.1
Nannochloropsis oceanica,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family 2 (facilitated glucose transporter) member 13 [Nannochloropsis oceanica],🟢 Confirmed,GAB5034470.1
Nannochloropsis oceanica,glucose transporter,2.A.1.1,MFS,glucose,sodium-dependent glucose transporter 1 [Nannochloropsis oceanica],🟢 Confirmed,GAB5035009.1
Elainellaceae cyanobacterium,glucose transporter,2.A.1.1,MFS,glucose,MAG: PTS glucose transporter subunit IIBC [Elainellaceae cyanobacterium],🟢 Confirmed,GAB4371357.1
Elainellaceae cyanobacterium,glucose transporter,2.A.1.1,MFS,glucose,MAG: PTS glucose transporter subunit IIBC [Elainellaceae cyanobacterium],🟢 Confirmed,GAB4471002.1
Pycnococcus provasolii,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Pycnococcus provasolii],🟢 Confirmed,XRB01688.1
Pycnococcus provasolii,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Pycnococcus provasolii],🟢 Confirmed,XRA99549.1
Chlorella vulgaris,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Chlorella vulgaris],🟢 Confirmed,KAL4859569.1
Chlorella vulgaris,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Chlorella vulgaris],🟢 Confirmed,KAL4859568.1
[Phormidium] sp. LEGE 05292,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIBC [[Phormidium] sp. LEGE 05292],🟢 Confirmed,WP_193979857.1
[Phormidium ambiguum] IAM M-71,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIBC [[Phormidium ambiguum] IAM M-71],🟢 Confirmed,WP_073593559.1
Chloropicon roscoffensis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chloropicon roscoffensis],🟢 Confirmed,XKU16768.1
Chloropicon roscoffensis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chloropicon roscoffensis],🟢 Confirmed,XKU07865.1
Chloropicon roscoffensis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chloropicon roscoffensis],🟢 Confirmed,WZN60049.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Probable glucose transporter rco-3 [Durusdinium trenchii],🟡 Probable/Hypothetical,CAK9036100.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 (AtpGlcT) [Durusdinium trenchii],🟢 Confirmed,CAK9037688.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Probable glucose transporter rco-3 [Durusdinium trenchii],🟡 Probable/Hypothetical,CAK9049106.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 (AtpGlcT) [Durusdinium trenchii],🟢 Confirmed,CAK9068027.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Low-affinity glucose transporter HXT3 [Durusdinium trenchii],🟢 Confirmed,CAK9103668.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Low-affinity glucose transporter HXT3 [Durusdinium trenchii],🟢 Confirmed,CAK9103807.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Sodium-dependent glucose transporter 1 (Major facilitator superfamily domain-containing protein 4B) [Durusdinium trenchii],🟢 Confirmed,CAK9106420.1
Nannochloropsis gaditana CCMP526,glucose transporter,2.A.1.1,MFS,glucose,sodium-dependent glucose transporter 1 [Nannochloropsis gaditana CCMP526],🟢 Confirmed,XP_005855558.1
Nannochloropsis gaditana CCMP526,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family 2 (facilitated glucose transporter) member 13 [Nannochloropsis gaditana CCMP526],🟢 Confirmed,XP_005852738.1
Picochlorum sp. SENEW3,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Picochlorum sp. SENEW3],🟢 Confirmed,WPT15511.1
Picochlorum sp. SENEW3,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Picochlorum sp. SENEW3],🟢 Confirmed,WPT14385.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3282185.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3277041.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3266931.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3239086.1
Planktothrix agardhii,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Planktothrix agardhii],🟢 Confirmed,WP_310996069.1
Chromochloris zofingiensis,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Chromochloris zofingiensis],🟢 Confirmed,WKW83349.1
unclassified Nostoc,glucose transporter,2.A.1.1,MFS,glucose,MULTISPECIES: PTS glucose transporter subunit IIA [unclassified Nostoc],🟢 Confirmed,WP_292705209.1
Microcystis,glucose transporter,2.A.1.1,MFS,glucose,MULTISPECIES: PTS glucose transporter subunit IIA [Microcystis],🟢 Confirmed,WP_002788764.1
Synechococcus sp. WH 7803,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possible glucose transporter [Synechococcus sp. WH 7803]",🟡 Probable/Hypothetical,CAK24483.1
Mayamaea pseudoterrestris,glucose transporter,2.A.1.1,MFS,glucose,vacuolar glucose transporter 1 [Mayamaea pseudoterrestris],🟢 Confirmed,GKY91386.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,affinity glucose transporter [Seminavis robusta],🟢 Confirmed,CAB9511160.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,"family 2, facilitated glucose transporter member [Seminavis robusta]",🟢 Confirmed,CAB9514104.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,affinity glucose transporter [Seminavis robusta],🟢 Confirmed,CAB9515091.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,"family 2, facilitated glucose transporter member [Seminavis robusta]",🟢 Confirmed,CAB9524177.1
Synechococcus sp. CC9605,glucose transporter,2.A.1.1,MFS,glucose,"sodium:solute symporter family, possibly glucose transporter [Synechococcus sp. CC9605]",🟢 Confirmed,ABB35802.1
Leptolyngbya iicbica LK,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [Leptolyngbya iicbica LK],🟢 Confirmed,RZM82738.1
Oscillatoria sp. FACHB-1406,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Oscillatoria sp. FACHB-1406],🟢 Confirmed,WP_190713082.1
Planktothrix serta,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Planktothrix serta],🟢 Confirmed,WP_083624467.1
Spirulina major,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Spirulina major],🟢 Confirmed,WP_072620110.1
Chaetoceros tenuissimus,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Chaetoceros tenuissimus]",🟢 Confirmed,GFH59204.1
