Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI)
Scytonema sp. NUACC21,beta-galactosidase,3.2.1.23,lactose,sugar-binding domain-containing protein [Scytonema sp. NUACC21],🟢 Confirmed,WP_460207387.1
Petrachloros mirabilis,beta-galactosidase,3.2.1.23,lactose,SMP-30/gluconolactonase/LRE family protein [Petrachloros mirabilis],🟢 Confirmed,WP_455242090.1
Coleofasciculus sp. E1-EBD-02,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Coleofasciculus sp. E1-EBD-02],🟢 Confirmed,WP_446398407.1
Coleofasciculus sp. E2-BRE-01,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Coleofasciculus sp. E2-BRE-01],🟢 Confirmed,WP_446379171.1
Coleofasciculus sp. G3-WIS-01,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Coleofasciculus sp. G3-WIS-01],🟢 Confirmed,WP_446372146.1
Acaryochloris marina,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Acaryochloris marina],🟢 Confirmed,WP_446075261.1
Nostoc sp. DSM 114161,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Nostoc sp. DSM 114161],🟢 Confirmed,WP_445638006.1
Nostoc sp. DSM 114161,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Nostoc sp. DSM 114161],🟢 Confirmed,WP_445633911.1
Nostoc sp. DSM 114167,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Nostoc sp. DSM 114167],🟢 Confirmed,WP_445628308.1
Microcoleus vaginatus,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus vaginatus],🟢 Confirmed,WP_445315573.1
Microcoleus vaginatus,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus vaginatus],🟢 Confirmed,WP_445311479.1
Microcoleus vaginatus,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus vaginatus],🟢 Confirmed,WP_445309762.1
Microcoleus vaginatus,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus vaginatus],🟢 Confirmed,WP_445306499.1
Microcoleus sp. OTE_8_concoct_300,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. OTE_8_concoct_300],🟢 Confirmed,WP_445250779.1
Microcoleus sp. OTE_8_concoct_300,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. OTE_8_concoct_300],🟢 Confirmed,WP_445247782.1
Microcoleus sp. T3_B1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T3_B1],🟢 Confirmed,WP_333464984.1
Microcoleus sp. T3_B1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T3_B1],🟢 Confirmed,WP_333464792.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333460872.1
Microcoleus sp. Pol10D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol10D4],🟢 Confirmed,WP_333459424.1
Microcoleus sp. herbarium5,beta-galactosidase,3.2.1.23,lactose,"glycoside hydrolase family 2 protein, partial [Microcoleus sp. herbarium5]",🟡 Probable/Hypothetical,WP_333453079.1
Microcoleus sp. K5-D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. K5-D4],🟢 Confirmed,WP_333451746.1
Microcoleus sp. K5-D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. K5-D4],🟢 Confirmed,WP_333449959.1
Microcoleus sp. D3_18_C4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D3_18_C4],🟢 Confirmed,WP_333444354.1
Microcoleus sp. herbarium2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. herbarium2],🟢 Confirmed,WP_333441653.1
Microcoleus sp. herbarium2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. herbarium2],🟢 Confirmed,WP_333439519.1
